Company,Item,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Total Fat (% Daily Value),Saturated Fat (% Daily Value),Cholesterol (% Daily Value),Sodium (% Daily Value),Total Carbohydrates (% Daily Value),Dietary Fiber (% Daily Value),Protein (% Daily Value),Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),Category,FreeStyle Points,SmartPoints,PointsPlus
A&W,with Cheese Lettuce Wrapped Mama Burger,310,180,20.0,9.0,0.5,65.0,600.0,8.0,0.0,5.0,18.0,31.0,45.0,22.0,25.0,3.0,0.0,36.0,4.0,2.0,6.0,10.0,Burgers,11.0,11.0,8.0
A&W,Single Lettuce Wrapped Mozza Burger,460,324,36.0,12.5,1.0,80.0,570.0,7.0,0.0,5.0,22.0,55.0,63.0,27.0,24.0,2.0,0.0,44.0,8.0,8.0,15.0,10.0,Burgers,16.0,16.0,12.0
A&W,Double Lettuce Wrapped Mozza Burger,640,441,49.0,18.5,1.5,125.0,750.0,7.0,0.0,5.0,36.0,75.0,93.0,42.0,31.0,2.0,0.0,72.0,8.0,8.0,15.0,20.0,Burgers,22.0,22.0,17.0
A&W,Lettuce Wrapped Papa Burger without Cheese,430,270,30.0,12.5,1.0,95.0,680.0,8.0,0.0,5.0,29.0,46.0,63.0,32.0,28.0,3.0,0.0,58.0,0.0,2.0,0.0,20.0,Burgers,14.0,14.0,11.0
A&W,Lettuce Wrapped Papa Burger with Cheese,490,297,33.0,15.0,1.0,110.0,780.0,8.0,0.0,5.0,32.0,51.0,75.0,37.0,33.0,3.0,0.0,64.0,4.0,2.0,6.0,20.0,Burgers,16.0,16.0,12.0
A&W,Lettuce Wrapped Teen Burger,340,198,22.0,10.0,0.5,70.0,680.0,9.0,0.0,6.0,20.0,34.0,50.0,23.0,28.0,3.0,0.0,40.0,4.0,6.0,6.0,10.0,Burgers,12.0,12.0,8.0
A&W,without Cheese Mama Burger,400,180,20.0,7.0,0.5,50.0,730.0,38.0,1.0,9.0,19.0,31.0,35.0,17.0,30.0,13.0,4.0,38.0,0.0,2.0,4.0,25.0,Burgers,13.0,13.0,11.0
A&W,with Cheese Mama Burger,460,216,24.0,10.0,0.5,55.0,800.0,37.0,1.0,8.0,23.0,37.0,50.0,18.0,33.0,12.0,4.0,46.0,6.0,2.0,10.0,25.0,Burgers,15.0,15.0,12.0
A&W,Single Mozza Burger,620,351,39.0,13.0,1.0,80.0,800.0,37.0,1.0,9.0,27.0,60.0,65.0,27.0,33.0,12.0,4.0,54.0,8.0,8.0,20.0,25.0,Burgers,21.0,21.0,16.0
A&W,Double Mozza Burger,800,468,52.0,19.0,1.5,125.0,980.0,37.0,1.0,9.0,41.0,80.0,95.0,42.0,41.0,12.0,4.0,82.0,8.0,8.0,20.0,35.0,Burgers,27.0,27.0,21.0
A&W,Papa Burger without Cheese,580,297,33.0,13.0,1.0,95.0,910.0,38.0,1.0,9.0,33.0,51.0,65.0,32.0,38.0,13.0,4.0,66.0,0.0,2.0,4.0,35.0,Burgers,19.0,19.0,16.0
A&W,Papa Burger with Cheese,640,333,37.0,16.0,1.0,110.0,990.0,37.0,1.0,8.0,37.0,57.0,80.0,37.0,41.0,12.0,4.0,74.0,6.0,2.0,10.0,35.0,Burgers,21.0,21.0,17.0
A&W,Teen Burger,500,234,26.0,11.0,0.5,70.0,910.0,39.0,1.0,10.0,25.0,40.0,55.0,23.0,38.0,13.0,4.0,50.0,6.0,6.0,10.0,25.0,Burgers,17.0,17.0,13.0
A&W,Bacon Ranch Chicken Wrap,270,126,14.0,3.0,0.1,20.0,680.0,24.0,2.0,0.5,9.0,22.0,15.0,7.0,28.0,8.0,8.0,18.0,0.0,0.0,4.0,15.0,Chicken,7.0,8.0,7.0
A&W,BLT Chicken Burger,700,378,42.0,6.0,0.1,85.0,1530.0,51.0,4.0,5.0,27.0,65.0,30.0,28.0,64.0,17.0,16.0,54.0,0.0,4.0,4.0,25.0,Chicken,19.0,21.0,18.0
A&W,Chicken Buddy Burger,360,171,19.0,2.0,0.0,20.0,780.0,36.0,2.0,5.0,10.0,29.0,10.0,7.0,33.0,12.0,8.0,20.0,0.0,0.0,4.0,16.0,Chicken,9.0,11.0,10.0
A&W,3 Piece Chicken Strips,300,135,15.0,1.0,0.0,45.0,880.0,25.0,1.0,1.0,17.0,23.0,5.0,15.0,37.0,8.0,4.0,34.0,0.0,2.0,0.0,25.0,Chicken,7.0,8.0,8.0
A&W,5 Piece Chicken Strips,500,225,25.0,2.0,0.0,75.0,1460.0,41.0,2.0,2.0,28.0,38.0,10.0,25.0,61.0,14.0,8.0,56.0,0.0,4.0,0.0,40.0,Chicken,11.0,13.0,13.0
A&W,Chubby Chicken Burger,490,243,27.0,3.0,0.0,40.0,1190.0,44.0,2.0,4.0,21.0,42.0,15.0,13.0,50.0,15.0,8.0,42.0,0.0,0.0,6.0,25.0,Chicken,12.0,14.0,13.0
A&W,Double Chicken Buddy Burger,480,225,25.0,3.0,0.0,35.0,1080.0,46.0,3.0,7.0,16.0,38.0,15.0,12.0,45.0,15.0,12.0,32.0,0.0,0.0,4.0,20.0,Chicken,11.0,15.0,13.0
A&W,Lettuce Wrapped BLT Chicken Burger,460,315,35.0,5.0,0.0,55.0,1170.0,14.0,1.0,1.0,21.0,54.0,25.0,18.0,49.0,5.0,4.0,42.0,0.0,4.0,2.0,10.0,Chicken,12.0,13.0,12.0
A&W,Lettuce Wrapped Chicken Buddy Burger,230,153,17.0,2.0,0.0,25.0,570.0,10.0,1.0,1.0,8.0,26.0,10.0,8.0,24.0,3.0,4.0,16.0,0.0,0.0,0.0,4.0,Chicken,5.0,7.0,6.0
A&W,Lettuce Wrapped Chubby Chicken Burger,370,243,27.0,2.0,0.0,45.0,760.0,17.0,1.0,3.0,17.0,42.0,10.0,15.0,32.0,6.0,4.0,34.0,2.0,20.0,0.0,8.0,Chicken,9.0,10.0,10.0
A&W,Lettuce Wrapped Double Chicken Buddy Burger,350,207,23.0,3.0,0.0,45.0,870.0,19.0,2.0,2.0,15.0,35.0,15.0,15.0,36.0,6.0,8.0,30.0,0.0,0.0,0.0,8.0,Chicken,7.0,10.0,9.0
