Company,Category,Item,FreeStyle Points,SmartPoints,PointsPlus
a-w,Drinks,Large Lemonade,17.0,17.0,6.0
a-w,Drinks,Milk,5.0,5.0,3.0
a-w,Drinks,Small Orange Juice,9.0,9.0,4.0
a-w,Drinks,Large Orange Juice,15.0,15.0,7.0
a-w,Drinks,Small Root Beer,9.0,9.0,4.0
a-w,Drinks,Large Root Beer,16.0,16.0,7.0
a-w,Drinks,Diet Root Beer Float,7.0,7.0,4.0
a-w,Drinks,Regular Root Beer Float,17.0,17.0,8.0
a-w,Drinks,Small Root Beer Milkshake,23.0,23.0,11.0
a-w,Drinks,Large Root Beer Milkshake,35.0,35.0,19.0
a-w,Drinks,Small Sprite,9.0,9.0,4.0
a-w,Drinks,Large Sprite,15.0,15.0,7.0
a-w,Drinks,Small Strawberry Milkshake,21.0,21.0,11.0
a-w,Drinks,Large Strawberry Milkshake,35.0,35.0,19.0
a-w,Drinks,Tea,0.0,0.0,0.0
a-w,Drinks,Small Vanilla Milkshake,21.0,21.0,11.0
a-w,Drinks,Large Vanilla Milkshake,35.0,35.0,19.0
a-w,Sides,Apple Turnover,11.0,11.0,8.0
a-w,Sides,Cherry Turnover,8.0,8.0,6.0
a-w,Sides,Kids Fries,8.0,8.0,7.0
a-w,Sides,Regular Fries,12.0,12.0,11.0
a-w,Sides,Onion Rings,16.0,16.0,14.0
a-w,Sides,Poutine,22.0,22.0,18.0
a-w,Sides,Root Beer Lollipop,2.0,2.0,1.0
kfc,Chicken,Extra Crispy Chicken Drumstick,4.0,4.0,4.0
kfc,Chicken,Extra Crispy Chicken Wing,5.0,5.0,5.0
kfc,Chicken,Extra Crispy Chicken Thigh,7.0,7.0,7.0
kfc,Chicken,Extra Crispy Chicken Rib,6.0,7.0,8.0
kfc,Chicken,Extra Crispy Chicken Keel,8.0,8.0,9.0
kfc,Chicken,Hot & Spicy Chicken Drumstick,4.0,4.0,4.0
kfc,Chicken,Hot & Spicy Chicken Wing,6.0,6.0,6.0
kfc,Chicken,Hot & Spicy Chicken Thigh,9.0,9.0,9.0
kfc,Chicken,Hot & Spicy Chicken Rib,8.0,9.0,9.0
kfc,Chicken,Hot & Spicy Chicken Keel,10.0,10.0,11.0
kfc,Chicken,Original Recipe Chicken Tender,2.0,2.0,3.0
kfc,Chicken,Original Recipe Chicken Drumstick,3.0,3.0,4.0
kfc,Chicken,Original Recipe Chicken Wing,4.0,4.0,4.0
kfc,Chicken,Original Recipe Chicken Thigh,6.0,6.0,6.0
kfc,Chicken,Original Recipe Chicken Rib,5.0,6.0,7.0
kfc,Chicken,Original Recipe Chicken Keel,6.0,6.0,7.0
kfc,Desserts,Chocolate Chip Cookie,6.0,6.0,4.0
kfc,Desserts,Ice Cream Cone,9.0,9.0,5.0
kfc,Desserts,Strawberry Swirl Cheesecake,15.0,15.0,9.0
kfc,Drinks,7UP,15.0,15.0,7.0
kfc,Drinks,Apple Juice,7.0,7.0,3.0
kfc,Drinks,Aquafina Water,0.0,0.0,0.0
kfc,Drinks,Chocolate Milk,8.0,8.0,4.0
kfc,Drinks,Diet Pepsi,0.0,0.0,0.0
kfc,Drinks,Dr Pepper,15.0,15.0,7.0
kfc,Drinks,Lipton Brisk Iced Tea,11.0,11.0,5.0
kfc,Drinks,Mountain Dew,18.0,18.0,8.0
kfc,Drinks,Mug Root Beer,16.0,16.0,8.0
kfc,Drinks,Orange Crush,17.0,17.0,8.0
kfc,Drinks,Orange Juice,6.0,6.0,3.0
kfc,Drinks,Pepsi,16.0,16.0,7.0
kfc,Sandwiches & Wraps,Original Big Crunch Sandwich,16.0,18.0,17.0
kfc,Sandwiches & Wraps,Spicy Big Crunch Sandwich,18.0,18.0,17.0
kfc,Sandwiches & Wraps,Double Down,15.0,17.0,16.0
kfc,Sandwiches & Wraps,Original Double Tender Sandwich,12.0,13.0,13.0
kfc,Sandwiches & Wraps,Spicy Double Tender Sandwich,13.0,15.0,14.0
kfc,Sandwiches & Wraps,Original Famous Chicken Sandwich,14.0,15.0,14.0
kfc,Sandwiches & Wraps,Spicy Famous Chicken Sandwich,14.0,15.0,14.0
kfc,Sandwiches & Wraps,Original Kentucky Flatbread,7.0,8.0,8.0
